Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -65 63           082.164375  -65.650169  11.919  10.967  11.866  12.240  12.943  13.011  13.071  13.001  12.994  12.824  12.949  O9.7 I:                         
LH64-16             082.195709  -68.796639  12.283  13.444  13.666  13.854  14.063  14.126  14.241  14.196  14.164  14.484  14.014  ON2 III(f*)                     
W16-71              082.326332  -68.760948  13.081  14.209  14.303  14.655  14.772  14.887  14.925  15.080  14.934  14.676  99.999  O5.5 III(f)                     
NGC2004-090         082.342956  -67.277809  14.112  15.003  15.193  15.509  15.661  15.906  16.044  15.970  15.866  99.999  99.999  O9.5 III                        
Sk -66 110          082.464874  -66.855553  11.887  12.752  12.963  13.121  13.314  13.436  13.468  13.451  13.433  13.376  13.350  O9 I                            
lmc1-263            082.469711  -71.145775  13.557  14.362  14.422  14.433  14.482  14.393  14.451  14.423  14.384  14.399  99.999  O8 III(f)                       
Sk -70 97           082.546875  -70.861717  11.903  12.839  13.012  13.194  13.437  13.528  13.583  13.379  13.372  13.243  13.094  O9 III                          
Sk -71 39           082.666168  -71.024864  11.737  12.651  12.605  12.345  12.816  12.950  12.920  13.058  13.094  12.968  12.861  O8 II(f)                        
Sk -71 41           082.667290  -71.093643  11.906  12.643  12.775  12.769  12.882  12.976  12.946  12.902  12.835  12.894  99.999  O8.5 I                          
NGC2004-019         082.685913  -67.310532  12.703  13.539  13.735  13.976  14.083  14.213  14.221  14.215  14.228  14.388  99.999  O9.5 III                        
lmc1-716            082.794540  -71.028725  13.398  14.181  14.317  14.366  14.430  14.450  14.460  14.538  14.511  99.999  99.999  O8 III((f))                     
Sk -71 45           082.814583  -71.069443  11.134  12.002  12.404  12.191  12.069  12.154  12.138  12.352  12.400  12.326  99.999  O4-5 III(f)                     
Sk -67 166          082.934212  -67.633720   9.520  13.773  12.216  11.167  12.603  12.674  12.702  12.680  12.593  12.568  12.448  O4 If+                          
Sk -71 46           082.956627  -71.060585  12.467  13.147  13.241  13.066  12.992  12.928  12.908  12.853  12.756  12.721  12.607  O4 If                           
Sk -67 167          082.966293  -67.661499  11.243  12.364  12.586  11.819  12.814  12.879  12.881  12.902  12.811  12.795  12.589  O4 Inf+                         
Sk -67 168          082.967163  -67.572441  99.999  99.999  99.999  99.999  12.381  12.509  12.528  12.519  12.463  12.436  12.359  O8 Iaf                          
LH72-S128           082.972504  -66.520645  12.216  11.095  12.103  12.871  13.031  13.081  13.060  13.118  13.033  12.985  12.939  O9.7 Ib                         
BI 192              082.999664  -67.548691  12.542  13.561  13.744  14.007  14.249  14.361  14.400  14.430  14.458  14.520  14.525  O9 III                          
Sk -67 176          083.082626  -67.686584  99.999  99.999  99.999  99.999  12.132  12.240  12.257  12.302  12.280  12.204  12.021  O7 Ib(f)                        
LH72-L29            083.082916  -66.467476  12.495  12.986  13.428  13.545  13.682  13.705  13.735  13.697  13.715  13.630  99.999  O9 III                          
Sk -66 138          083.202545  -66.421997  12.444  12.150  13.199  13.381  13.523  13.616  13.602  13.683  13.645  13.612  13.728  O9.5 III                        
Sk -66 151          083.549377  -66.233719  11.917  10.999  12.415  12.228  12.851  12.930  12.961  12.930  12.860  12.881  12.764  O7 Ib(f)                        
