Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

[ST92]3-18          083.924873  -68.994552  15.135  15.775  15.678  15.639  15.609  15.612  15.938  15.591  15.563  99.999  99.999  B1 V                                              
Sk -67 216          083.931664  -66.997360  11.865  12.541  12.808  13.137  13.139  13.212  13.280  13.218  13.181  13.247  13.212  B0.5 V0                         
[ST92]3-21          083.935837  -68.995415  15.898  16.580  16.460  16.457  16.409  16.350  99.999  16.408  99.999  99.999  99.999  B2 V                            
[ST92]2-23          083.939789  -69.188141  15.487  16.108  15.999  15.809  15.666  15.680  15.589  15.696  15.690  99.999  99.999  B0.5 V                          
[ST92]2-25          083.943665  -69.212357  15.185  15.885  15.910  15.629  15.532  15.403  15.346  15.275  15.466  99.999  99.999  B0 V                            
[ST92]3-23          083.944168  -68.993248  15.160  15.900  15.807  15.702  15.660  15.678  15.674  15.625  15.698  99.999  99.999  B0.5 V                          
[ST92]3-25          083.947456  -68.972832  14.998  15.657  15.573  15.511  15.429  15.498  15.281  15.331  15.319  99.999  99.999  B0.5 V                          
W27-13              083.962082  -68.984749  13.729  14.617  14.909  14.498  14.719  14.785  14.703  14.701  14.681  99.999  99.999  B0.5 V                          
[ST92]3-38          083.969627  -68.997551  16.184  16.576  16.490  16.283  16.191  16.104  16.121  16.048  16.039  99.999  99.999  B1 V                            
[ST92]2-31          083.977417  -69.197220  15.694  16.307  16.054  15.647  99.999  99.999  99.999  15.300  15.225  99.999  99.999  B1 V                            
[ST92]3-40          083.977707  -68.989830  17.913  18.265  18.220  18.089  99.999  99.999  99.999  17.662  99.999  99.999  99.999  B2 V                            
[ST92]3-51          083.999420  -68.989136  16.567  17.108  17.094  17.043  99.999  99.999  99.999  16.967  17.186  99.999  99.999  B2 V                            
[ST92]3-52          084.000748  -68.974976  21.251  19.927  18.465  16.739  15.230  14.556  14.323  14.209  14.219  14.034  99.999  B1 V                            
[ST92]3-56          084.009544  -68.964302  15.355  15.983  15.955  15.957  15.912  15.930  15.823  15.748  15.864  99.999  99.999  B2 V                            
ST2-47              084.009834  -69.199669  14.657  15.849  15.375  15.313  99.999  15.263  15.215  15.241  15.403  99.999  99.999  B0.5 V                          
W27-28              084.010208  -68.992554  13.488  14.214  14.165  14.208  14.216  14.249  99.999  14.226  14.219  14.291  99.999  B0.2 V                          
[ST92]3-58          084.011253  -68.976944  14.788  15.549  15.440  15.535  15.580  15.599  15.543  15.558  15.641  99.999  99.999  B0.5 V                          
[ST92]3-59          084.015747  -68.987579  16.971  17.594  17.417  17.430  99.999  99.999  99.999  17.246  17.195  99.999  99.999  B1 V                            
[ST92]3-61          084.026337  -68.996109  16.954  17.490  17.333  17.127  99.999  99.999  99.999  16.408  16.461  99.999  99.999  B2 V                            
BI 243              084.155914  -66.458221  13.239  14.018  14.277  14.498  14.665  14.798  14.879  15.153  14.821  14.490  99.999  B0.5 V                          
Sk -68 132          084.219254  -68.369224  12.811  13.799  13.939  14.169  14.302  14.362  14.413  14.394  14.391  14.271  99.999  B0 V                            
[ST92]1-22          084.395920  -69.161415  16.016  16.729  16.635  16.552  16.335  16.138  99.999  16.245  99.999  99.999  99.999  B0.5 V                          
[ST92]1-23          084.398956  -69.135414  15.739  16.528  16.297  15.927  15.628  15.466  15.489  15.231  15.175  99.999  99.999  B0 V                            
[ST92]1-27          084.406334  -69.139023  15.424  16.202  16.068  15.692  15.415  15.257  15.127  14.992  14.884  99.999  99.999  B0 V                            
[ST92]1-33          084.413292  -69.144691  16.025  16.832  16.528  15.907  15.549  15.264  14.968  14.842  14.695  99.999  99.999  B1 V                            
[ST92]1-36          084.417374  -69.168610  14.917  15.649  15.526  15.376  15.220  15.346  15.301  15.646  99.999  99.999  99.999  B0 V                            
[ST92]1-39          084.420540  -69.145637  16.052  16.829  16.633  16.491  16.261  16.175  99.999  15.419  99.999  99.999  99.999  B0 V                            
