Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -67 122          081.983666  -67.346199  99.999  99.999  99.999  99.999  10.897  10.898  10.901  10.828  10.785  10.803  10.748  B5 Ia                           
Sk -68 92           082.067375  -68.862663  99.999  99.999  99.999  99.999  11.860  11.867  11.900  11.836  11.764  11.743  11.660  B1 Ia                           
Sk -67 126          082.083458  -67.675217  99.999  99.999  99.999  99.999  11.459  11.502  11.462  11.395  11.357  11.346  11.344  B5 Ia                           
LH64-6              082.154083  -68.834167  12.243  13.254  13.356  13.431  13.671  13.716  13.741  13.808  13.732  13.798  99.999  B1 III                          
Sk -70 94           082.178917  -70.330444  11.930  12.762  13.124  13.229  13.333  13.366  13.376  13.362  13.335  13.372  13.195  B0 Ib                           
W16-6               082.190834  -68.825470  12.889  13.823  13.883  14.101  14.211  14.336  14.385  14.357  14.337  14.367  99.999  B1: III:                        
W16-7               082.194122  -68.771172  12.663  13.939  13.720  14.064  14.261  14.304  14.204  13.972  13.889  13.779  13.642  B1 III                          
Sk -67 130          082.204918  -66.993416  10.819  11.382  11.385   9.607  11.507  11.481  11.476  11.379  11.342  11.320  11.321  B5 Ia                           
Sk -68 95           082.222168  -68.812309  99.999  99.999  99.999  99.999  12.859  12.947  12.953  12.907  12.835  12.841  12.775  B1 III                          
W16-29              082.240669  -68.788887  12.273  13.204  13.266  13.741  13.878  13.947  14.018  13.945  13.931  14.094  14.021  B0.2: III:                      
W16-32              082.242165  -68.802506  12.796  13.698  13.676  14.071  14.205  14.360  14.320  14.365  14.353  14.538  99.999  B0.2 III:                       
Sk -66 106          082.254127  -66.641052  99.999  99.999  99.999  99.999  11.849  11.921  11.942  11.780  11.811  11.766  11.684  B1.5 Ia                         
W16-41              082.261459  -68.750504  12.253  13.244  13.376  13.503  13.691  13.695  13.732  13.717  13.687  13.563  13.514  B0.5 III                        
Sk -67 131          082.263206  -67.340393  11.283  12.324  12.486  11.463  12.693  12.768  12.776  12.712  12.668  12.652  12.540  B0.5: Ia                        
W16-46              082.271584  -68.767807  99.999  99.999  99.999  99.999  13.199  13.268  13.296  13.405  13.310  13.370  13.336  B1: I:                          
W16-52              082.284874  -68.754524  99.999  99.999  99.999  99.999  12.692  12.684  12.670  99.999  12.771  12.777  99.999  B2: III:                        
NGC2004-109         082.296043  -67.316444  14.549  15.234  15.320  15.558  15.610  15.780  15.759  15.796  15.827  99.999  99.999  B2.5 III                                 
