Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

NGC2004-074         082.620956  -67.381332  14.196  15.045  15.188  15.487  15.719  15.776  99.999  15.914  15.946  99.999  99.999  B0.7-B1 V Binary (SB1)  
NGC2004-118         082.821999  -67.311806  14.975  15.449  15.580  15.707  15.974  16.093  16.001  16.161  16.128  99.999  99.999  B1.5 V Binary (SB1)   
LH72-L39            083.041252  -66.435669  13.830  14.823  14.959  15.286  15.419  15.485  15.610  15.660  15.533  99.999  99.999  B0.5 V emission   
[ST92]3-20          083.930122  -68.982254  16.579  17.098  17.031  16.934  16.494  16.669  99.999  16.345  16.280  99.999  99.999  B2 V 2" pair  
N11-089             073.868042  -66.494888  14.288  14.819  14.867  14.860  14.765  14.774  14.748  14.692  14.695  99.999  99.999  B2 III Binary (SB1) 
N11-077             074.005669  -66.347557  13.902  14.584  14.696  14.807  14.841  14.866  14.979  14.984  15.048  99.999  99.999  B2 III Binary (SB1)  
N11-037             074.093041  -66.467941  12.899  13.665  13.764  13.730  13.787  13.804  13.838  13.816  13.801  13.865  99.999  B0 III Binary (SB1) 
N11-047             074.106163  -66.442558  12.918  13.794  13.976  14.157  14.321  14.468  14.469  14.513  14.530  14.712  99.999  B0 III Binary (SB1) 
N11-113             074.194664  -66.486496  14.119  14.964  15.123  15.347  15.486  15.612  15.647  15.653  15.689  99.999  99.999  B0.5 III Binary (SB2) Early B-  
N11-096             074.225334  -66.365639  14.033  14.760  14.909  15.085  15.245  15.361  15.348  15.459  15.466  99.999  99.999  B1.5 III Binary (SB2)           
N11-098             074.245705  -66.579529  14.100  14.796  14.888  15.072  15.151  15.257  15.322  15.185  15.161  99.999  99.999  B2 III Binary (SB1)   
N11-040             074.319664  -66.472969  13.000  13.737  13.960  13.987  13.978  14.040  14.028  13.989  13.987  13.782  99.999  B0: IIIn Binary?  
N11-094             074.321167  -66.506249  13.924  14.676  14.845  15.048  15.062  15.191  15.185  15.166  15.113  14.842  99.999  B1 III Binary (SB1)    
N11-075             074.341873  -66.322418  13.910  14.579  14.671  14.837  15.012  15.048  15.189  15.047  15.154  14.432  99.999  B2 III Binary?     
HV2274              075.669998  -68.405838  13.298  13.984  14.127  14.390  14.824  14.959  15.045  14.740  14.775  14.936  99.999  B1-2 IV-III + B1-2 IV-III
